TAI SAN,,,,,
B. VON CHU SO HUU,,14471837,20396041,37576843,45266395
I. Von chu so huu,,14471837,20396041,37576843,45266395
1. Von gop cua chu so huu,,9296037,14545551,18681881,26377080
- Co phieu pho thong Co quyen bieu quyet,,,,18681881,26377080
- Co phieu uu dai,,,,,
2. Thang du von co phan,,1781641,4582534,5798727,2504960
3. Quyen chon chuyen doi trai phieu,,,,,
4. Von khac cua chu so huu,,,,,
5. Co phieu quy (*),,-4351625,-2974924,-2974924,-2974924
6. Chenh lech danh gia lai tai san,,,,,
7. Chenh lech ty gia hoi doai,,,,,
8. Quy dau tu phat trien,,,,,
9. Quy ho tro sap xep doanh nghiep,,,,,
10. Quy khac thuoc von chu so huu,,,,27845,32845
11. Loi nhuan sau thue chua phan phoi,,7727939,4220035,1601416,942345
- LNST chua phan phoi luy ke den cuoi ky truoc,,,,2350786,402300
- LNST chua phan phoi ky nay,,,,-749371,540045
12. Nguon von dau tu XDCB,,,,,
13. Loi ich co dong khong kiem soat,,,,14441898,18384089
14. Quy du phong tai chinh,,17845,22845,,
II. Nguon kinh phi va quy khac,,,,,
1. Nguon kinh phi,,,,,
2. Nguon kinh phi da hinh thanh TSCD,,,,,
C. LOI ICH CO DONG THIEU SO,,4144706,6888592,,
TONG CONG NGUON VON,,75772648,90485307,145494673,180450850
